score,label
0.468,0
0.411,0
0.073,0
0.474,0
0.003,0
0.857,1
0.167,0
0.481,0
0.113,0
0.126,0
0.052,0
0.291,0
0.216,0
0.15,0
0.109,0
0.334,0
0.194,0
0.024,0
0.012,0
0.022,0
0.328,0
0.182,0
0.579,1
0.173,0
0.21,0
0.431,1
0.39,1
0.044,0
0.176,0
0.102,0
0.056,0
0.007,1
0.344,1
0.985,1
0.832,1
0.127,0
0.27,0
0.835,1
0.933,1
0.001,0
0.116,0
0.006,0
0.1,0
0.079,0
0.25,0
0.698,1
0.464,0
0.079,0
0.003,0
0.177,0
0.418,1
0.614,1
0.385,0
0.142,0
0.703,1
0.163,1
0.363,0
0.114,0
0,0
0.749,1
0.141,0
0.385,0
0.282,0
0.561,0
0.506,0
0.986,1
0.113,0
0.563,1
0.932,1
0.367,1
0.579,0
0.22,0
0.58,1
0.341,0
0.48,0
0.831,0
0.005,0
0.073,0
0.065,0
0.208,0
0.055,0
0.002,0
0.038,0
0.083,0
0.016,0
0.298,1
0.629,0
0.301,0
0.065,0
0.315,1
0.11,0
0.008,0
0.005,0
0.201,0
0.927,1
0.286,0
0.049,0
0.067,0
0.36,1
0.028,0
0.812,1
0.007,0
0.433,0
0.042,0
0.118,0
0.249,0
0.007,0
0.653,1
0.043,0
0.661,0
0.272,0
0.2,0
0.029,0
0.681,0
0,0
0.93,1
0.415,1
0.041,0
0.457,1
0.071,0
0.05,0
0.017,0
0.112,0
0.092,0
0.442,1
0.01,0
0.061,0
0.756,1
0.231,0
0.332,1
0.019,0
0.005,0
0.889,1
0.628,0
0.689,0
0.635,1
0.908,1
0.551,1
0.229,1
0.256,0
0.005,0
0.926,1
0.051,0
0.687,1
0.167,0
0.524,0
0.477,0
0.306,0
0.86,1
0.722,1
0.596,0
0.041,0
0.344,0
0.011,0
0.015,0
0.026,0
0.221,0
0.038,0
0.022,1
0.304,1
0.012,0
0.007,0
0.372,0
0.067,0
0,0
0.14,1
0.558,0
0.002,0
0.767,1
0.278,0
0,0
0.602,0
0.041,0
0.217,0
0.138,0
0.259,0
0.457,0
0.891,1
0.849,1
0.669,1
0.006,0
0.095,0
0.444,0
0.078,0
0.436,0
0.605,1
0.003,0
0.403,1
0.004,0
0.291,0
0.675,1
0.237,0
0.999,0
0.03,0
0.774,1
0.457,0
0.105,0
0.457,0
0.003,0
0.933,1
0.284,0
0.057,0
0.064,0
0.54,0
0.082,0
0.036,0
0.033,0
0.27,0
0.966,0
0,0
0.639,0
0.878,0
0.127,0
0.28,1
0.02,0
0.405,0
0.989,0
0.493,1
0.527,0
0.78,1
0.141,0
0.043,0
0.437,0
0.786,1
0.128,0
0.188,1
0.025,0
0.373,0
0.041,0
0.744,0
0.515,0
0.755,1
0.335,1
0.318,0
0.654,0
0.459,0
0.095,1
0.152,0
0.029,0
0.051,0
